id,season,week,season_type,start_date,home_team,home_conference,home_score,away_team,away_conference,away_score,lines
401442036,2022,1,postseason,2022-12-30T20:30:00.000Z,South Carolina,SEC,38,Notre Dame,FBS Independents,45,"[{'provider': 'William Hill (New Jersey)', 'spread': 5.5, 'formatted_spread': 'Notre Dame -5.5', 'spread_open': None, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 5.0, 'formatted_spread': 'Notre Dame -5', 'spread_open': None, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 5.0, 'formatted_spread': 'Notre Dame -5', 'spread_open': None, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 5.0, 'formatted_spread': 'Notre Dame -5', 'spread_open': 3.0, 'over_under': 50.5, 'over_under_open': 51.5, 'home_moneyline': -140.0, 'away_moneyline': 120.0}]"
401443542,2022,1,postseason,2022-12-30T19:00:00.000Z,UCLA,Pac-12,35,Pittsburgh,ACC,37,"[{'provider': 'William Hill (New Jersey)', 'spread': -8.5, 'formatted_spread': 'UCLA -8.5', 'spread_open': None, 'over_under': 54.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -8.5, 'formatted_spread': 'UCLA -8.5', 'spread_open': None, 'over_under': 54.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -8.5, 'formatted_spread': 'UCLA -8.5', 'spread_open': None, 'over_under': 54.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -9.0, 'formatted_spread': 'UCLA -9.0', 'spread_open': -4.0, 'over_under': 55.0, 'over_under_open': 60.5, 'home_moneyline': -310.0, 'away_moneyline': 255.0}]"
401442019,2022,1,postseason,2022-12-31T01:00:00.000Z,Clemson,ACC,14,Tennessee,SEC,31,"[{'provider': 'William Hill (New Jersey)', 'spread': -4.0, 'formatted_spread': 'Clemson -4', 'spread_open': None, 'over_under': 61.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -4.5, 'formatted_spread': 'Clemson -4.5', 'spread_open': None, 'over_under': 61.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -3.5, 'formatted_spread': 'Clemson -3.5', 'spread_open': None, 'over_under': 62.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -4.0, 'formatted_spread': 'Clemson -4', 'spread_open': -4.5, 'over_under': 62.0, 'over_under_open': 64.0, 'home_moneyline': 220.0, 'away_moneyline': -270.0}]"
401442032,2022,1,postseason,2022-12-29T19:00:00.000Z,Minnesota,Big Ten,28,Syracuse,ACC,20,"[{'provider': 'William Hill (New Jersey)', 'spread': -11.0, 'formatted_spread': 'Minnesota -11', 'spread_open': None, 'over_under': 45.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -10.5, 'formatted_spread': 'Minnesota -10.5', 'spread_open': None, 'over_under': 44.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -10.5, 'formatted_spread': 'Minnesota -10.5', 'spread_open': None, 'over_under': 44.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -10.5, 'formatted_spread': 'Minnesota -10.5', 'spread_open': -7.0, 'over_under': 45.0, 'over_under_open': 42.0, 'home_moneyline': 250.0, 'away_moneyline': -300.0}]"
401442033,2022,1,postseason,2022-12-29T22:30:00.000Z,Florida State,ACC,35,Oklahoma,Big 12,32,"[{'provider': 'William Hill (New Jersey)', 'spread': -10.0, 'formatted_spread': 'Florida State -10', 'spread_open': None, 'over_under': 67.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -10.5, 'formatted_spread': 'Florida State -10.5', 'spread_open': None, 'over_under': 66.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -10.5, 'formatted_spread': 'Florida State -10.5', 'spread_open': None, 'over_under': 66.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -10.5, 'formatted_spread': 'Florida State -10.5', 'spread_open': -8.0, 'over_under': 67.0, 'over_under_open': 62.0, 'home_moneyline': -290.0, 'away_moneyline': None}]"
401442034,2022,1,postseason,2022-12-30T02:00:00.000Z,Washington,Pac-12,27,Texas,Big 12,20,"[{'provider': 'William Hill (New Jersey)', 'spread': 3.0, 'formatted_spread': 'Texas -3', 'spread_open': None, 'over_under': 67.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 3.5, 'formatted_spread': 'Texas -3.5', 'spread_open': None, 'over_under': 67.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 3.0, 'formatted_spread': 'Texas -3', 'spread_open': None, 'over_under': 67.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 3.0, 'formatted_spread': 'Texas -3', 'spread_open': 6.0, 'over_under': 67.0, 'over_under_open': 68.5, 'home_moneyline': -195.0, 'away_moneyline': 165.0}]"
401442031,2022,1,postseason,2022-12-29T02:00:00.000Z,Ole Miss,SEC,25,Texas Tech,Big 12,42,"[{'provider': 'William Hill (New Jersey)', 'spread': -4.5, 'formatted_spread': 'Ole Miss -4.5', 'spread_open': None, 'over_under': 72.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -4.0, 'formatted_spread': 'Ole Miss -4', 'spread_open': None, 'over_under': 72.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -4.0, 'formatted_spread': 'Ole Miss -4', 'spread_open': None, 'over_under': 72.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -4.5, 'formatted_spread': 'Ole Miss -4.5', 'spread_open': -4.0, 'over_under': 73.0, 'over_under_open': 65.5, 'home_moneyline': 160.0, 'away_moneyline': None}]"
401442030,2022,1,postseason,2022-12-28T22:30:00.000Z,Arkansas,SEC,55,Kansas,Big 12,53,"[{'provider': 'William Hill (New Jersey)', 'spread': -1.5, 'formatted_spread': 'Arkansas -1.5', 'spread_open': None, 'over_under': 70.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -1.0, 'formatted_spread': 'Arkansas -1', 'spread_open': None, 'over_under': 70.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -1.5, 'formatted_spread': 'Arkansas -1.5', 'spread_open': None, 'over_under': 70.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -1.5, 'formatted_spread': 'Arkansas -1.5', 'spread_open': -5.0, 'over_under': 70.5, 'over_under_open': 67.5, 'home_moneyline': -200.0, 'away_moneyline': 170.0}]"
401442008,2022,1,postseason,2022-12-28T19:00:00.000Z,Duke,ACC,30,UCF,American Athletic,13,"[{'provider': 'William Hill (New Jersey)', 'spread': -3.0, 'formatted_spread': 'Duke -3', 'spread_open': None, 'over_under': 63.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -3.5, 'formatted_spread': 'Duke -3.5', 'spread_open': None, 'over_under': 62.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -3.0, 'formatted_spread': 'Duke -3', 'spread_open': None, 'over_under': 62.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -3.5, 'formatted_spread': 'Duke -3.5', 'spread_open': 2.5, 'over_under': 63.0, 'over_under_open': 61.5, 'home_moneyline': -110.0, 'away_moneyline': -110.0}]"
401470891,2022,1,postseason,2022-12-29T01:00:00.000Z,North Carolina,ACC,27,Oregon,Pac-12,28,"[{'provider': 'William Hill (New Jersey)', 'spread': 13.0, 'formatted_spread': 'Oregon -13', 'spread_open': None, 'over_under': 76.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 13.0, 'formatted_spread': 'Oregon -13', 'spread_open': None, 'over_under': 76.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 13.0, 'formatted_spread': 'Oregon -13', 'spread_open': None, 'over_under': 76.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 13.0, 'formatted_spread': 'Oregon -13', 'spread_open': 10.5, 'over_under': 76.0, 'over_under_open': 74.0, 'home_moneyline': -525.0, 'away_moneyline': 375.0}]"
