season,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,spread,formatted_spread,spread_open,over_under,
2014.0,Navy,Mountain West,17.0,San Diego State,FBS Independents,16.0,0,-3.5,San Diego State,,51.0,
2014.0,Western Kentucky,Conference USA,49.0,Central Michigan,Mid-American,48.0,1,-1.5,Western Kentucky,,,
2014.0,Rice,Conference USA,30.0,Fresno State,Mountain West,6.0,0,2.0,Fresno State,,,
2014.0,Louisiana Tech,Conference USA,35.0,Illinois,Big Ten,18.0,1,-4.0,Louisiana Tech,,,
2014.0,Rutgers,ACC,40.0,North Carolina,Big Ten,21.0,0,-3.0,North Carolina,,,
2014.0,NC State,American Athletic,34.0,UCF,ACC,27.0,0,-3.0,UCF,,,
2014.0,Arizona State,ACC,36.0,Duke,Pac-12,31.0,1,9.0,Arizona State,,,
2014.0,USC,Pac-12,45.0,Nebraska,Big Ten,42.0,1,-4.0,USC,,,
2014.0,Virginia Tech,ACC,33.0,Cincinnati,American Athletic,17.0,0,3.5,Cincinnati,,,
2014.0,South Carolina,SEC,24.0,Miami,ACC,21.0,0,3.0,Miami,,62.0,
2014.0,Georgia Tech,ACC,49.0,Mississippi State,SEC,34.0,0,7.0,Mississippi State,,,
2014.0,Boise State,Pac-12,38.0,Arizona,Mountain West,30.0,0,-4.0,Arizona,,,
,,,,,,,0.46153846153846156,,,,,
2015.0,California,Mountain West,55.0,Air Force,Pac-12,36.0,1,5.5,California,,69.5,'consensus'
2015.0,Nevada,Mountain West,28.0,Colorado State,Mountain West,23.0,0,-4.5,Colorado State,,56.0,'consensus'
2015.0,Wisconsin,Big Ten,23.0,USC,Pac-12,21.0,0,3.5,USC,,50.0,'consensus'
2015.0,Auburn,American Athletic,31.0,Memphis,SEC,10.0,1,3.0,Auburn,,64.5,'consensus'
2015.0,Mississippi State,SEC,51.0,NC State,ACC,28.0,1,-6.0,Mississippi State,,61.5,'consensus'
2015.0,Louisville,ACC,27.0,Texas A&M,SEC,21.0,1,-3.0,Louisville,,50.5,'consensus'
2015.0,Clemson,ACC,37.0,Oklahoma,Big 12,17.0,0,3.5,Oklahoma,,61.5,'consensus'
2015.0,Alabama,SEC,38.0,Michigan State,Big Ten,0.0,1,-10.0,Alabama,,45.5,'consensus'
2015.0,Houston,ACC,38.0,Florida State,American Athletic,24.0,0,-7.5,Florida State,,56.5,'consensus'
2015.0,Stanford,Big Ten,45.0,Iowa,Pac-12,16.0,1,6.5,Stanford,,51.0,'consensus'
2015.0,Ohio State,Big Ten,44.0,Notre Dame,FBS Independents,28.0,1,-4.5,Ohio State,,57.5,'consensus'
2015.0,Ole Miss,SEC,48.0,Oklahoma State,Big 12,20.0,1,-7.5,Ole Miss,,70.0,'consensus'
2015.0,Tennessee,SEC,45.0,Northwestern,Big Ten,6.0,1,-9.5,Tennessee,,48.5,'consensus'
2015.0,Michigan,SEC,41.0,Florida,Big Ten,7.0,1,3.5,Michigan,,40.0,'consensus'
2015.0,TCU,Big 12,47.0,Oregon,Pac-12,41.0,0,7.5,Oregon,,73.5,
2015.0,Georgia,SEC,24.0,Penn State,Big Ten,17.0,1,-6.0,Georgia,,44.0,'consensus'
2015.0,Arkansas,SEC,45.0,Kansas State,Big 12,23.0,1,-13.5,Arkansas,,56.5,'consensus'
2015.0,West Virginia,Pac-12,43.0,Arizona State,Big 12,42.0,1,3.0,West Virginia,,61.0,'consensus'
2015.0,Alabama,ACC,45.0,Clemson,SEC,40.0,1,6.0,Alabama,,50.5,'consensus'
2015.0,Western Michigan,Mid-American,45.0,Middle Tennessee,Conference USA,31.0,1,-3.0,Western Michigan,,65.0,'consensus'
