white_username,black_username,opening,score_white,score_black,result_white,result_black,time_class,time_control,rating_white,rating_black,accuracy_white,accuracy_black,start_time,end_time,game_length,total_moves,avg_move_time,UTC_date,white_<1,white_2,white_5,white_15,white_>15,black_<1,black_2,black_5,black_15,black_>15
Hikaru,moro182,Bishops-Opening-Berlin-Vienna-Hybrid-Variation,1,0,win,resigned,blitz,180,3196,2803,93.97,84.16,17:08:33,17:13:06,273.0,31,8.81,2023.01.18,7,14,5,3,1,2,14,7,3,3
Hikaru,MITerryble,Kings-Indian-Attack,0.5,0.5,insufficient,insufficient,blitz,180,3191,2973,82.89,81.22,17:12:55,17:19:29,394.0,89,4.43,2023.01.18,27,43,10,6,2,23,39,22,4,0
Lazybones89,Hikaru,Modern-Defense-with,0,1,timeout,win,blitz,180,2946,3206,89.86,91.38,17:19:25,17:25:31,366.0,67,5.46,2023.01.18,14,30,12,10,0,16,33,10,6,1
Hikaru,hansen,Alapin-Sicilian-Defense,1,0,win,timeout,blitz,180,3208,2869,73.42,74.32,17:25:22,17:31:15,353.0,54,6.54,2023.01.18,5,29,13,6,0,8,27,5,9,3
Byniolus,Hikaru,Modern-Defense-with,0,1,timeout,win,blitz,180,2808,3209,80.99,83.78,17:31:05,17:37:27,382.0,66,5.79,2023.01.18,17,28,9,10,1,14,31,11,8,1
hansen,Hikaru,Kings-Indian-Attack-Double-Fianchetto-Variation,0,1,timeout,win,blitz,180,2870,3211,89.95,87.18,17:37:08,17:42:51,343.0,65,5.28,2023.01.18,12,29,14,8,1,16,32,11,5,0
Hikaru,Sychev_on_YouTube,Vienna-Game-Max-Lange-Defense,1,0,win,resigned,blitz,180,3213,2825,87.19,76.73,17:42:54,17:48:36,342.0,37,9.24,2023.01.18,5,18,7,5,1,2,9,11,13,0
MiFerz44,Hikaru,Reti-Opening-Kingside-Fianchetto-Variation,0,1,resigned,win,blitz,180,2638,3214,74.51,84.23,17:49:49,17:53:47,238.0,30,7.93,2023.01.18,3,10,11,2,3,5,15,7,2,0
Hikaru,wonderfultime,Sicilian-Defense-Nimzowitsch-Variation,1,0,win,resigned,blitz,180,3217,2950,94.05,90.06,17:53:47,17:59:51,364.0,45,8.09,2023.01.18,4,23,11,5,1,8,18,11,3,3
MITerryble,Hikaru,Modern-Defense-with,0,1,resigned,win,blitz,180,2994,3221,86.83,91.65,17:59:50,18:04:16,266.0,36,7.39,2023.01.18,4,17,6,7,1,5,15,11,3,1
Hikaru,exoticprincess,Vienna-Game-Falkbeer-Stanley-Variation,1,0,win,timeout,blitz,180,3224,2935,78.01,73.37,18:04:13,18:10:01,348.0,49,7.1,2023.01.18,6,24,13,4,1,5,26,8,6,2
Oleksandr_Bortnyk,Hikaru,Alapin-Sicilian-Defense-Barmen-Defense,0.5,0.5,agreed,agreed,blitz,180,3013,3220,94.93,94.09,18:09:53,18:13:50,237.0,33,7.18,2023.01.18,8,11,6,5,2,6,20,3,2,1
Hikaru,hansen,Alapin-Sicilian-Defense,1,0,win,timeout,blitz,180,3222,2903,78.89,80.77,18:13:47,18:19:28,341.0,56,6.09,2023.01.18,8,27,17,3,0,9,22,13,9,1
MLChess64,Hikaru,Modern-Defense-with,0,1,timeout,win,blitz,180,2424,3222,69.15,77.29,18:19:32,18:24:01,269.0,41,6.56,2023.01.18,9,16,6,6,3,11,21,6,2,0
SlipperySpeedster,Hikaru,Modern-Defense-with,0,1,resigned,win,blitz,180,2571,3222,82.76,90.97,18:24:13,18:25:07,54.0,18,3.0,2023.01.18,5,9,3,0,0,6,10,1,0,0
Hikaru,Vaoow,Nimzowitsch-Defense-Declined,1,0,win,resigned,blitz,180,3222,2018,87.98,82.7,18:25:12,18:28:25,193.0,51,3.78,2023.01.18,11,33,6,0,0,1,35,13,0,0
Hikaru,MITerryble,French-Defense-La-Bourdonnais-Variation,1,0,win,resigned,blitz,180,3225,2996,92.22,85.79,18:28:24,18:32:04,220.0,35,6.29,2023.01.18,4,18,8,4,0,7,16,3,5,2
Hikaru,GMBenjaminBok,Reti-Opening,1,0,win,resigned,blitz,180,3228,2984,85.33,79.9,18:31:56,18:37:28,332.0,54,6.15,2023.01.18,7,29,10,7,0,8,23,12,8,1
TigrVShlyape,Hikaru,Modern-Defense-with,0,1,timeout,win,blitz,180,2908,3230,88.82,87.84,18:37:20,18:42:59,339.0,54,6.28,2023.01.18,1,26,17,8,1,13,20,15,5,0
Hikaru,chessajedrezz2020,Reti-Opening,1,0,win,resigned,blitz,180,3231,2725,90.82,84.72,18:42:52,18:44:44,112.0,27,4.15,2023.01.18,4,17,5,0,0,6,12,5,2,0
exoticprincess,Hikaru,Modern-Defense-with,0,1,resigned,win,blitz,180,2946,3234,74.42,80.76,18:44:47,18:49:52,305.0,34,8.97,2023.01.18,4,15,6,6,2,3,19,7,2,2
Hikaru,Oleksandr_Bortnyk,Alekhines-Defense,1,0,win,timeout,blitz,180,3238,3009,69.53,70.48,18:49:31,18:55:38,367.0,72,5.1,2023.01.18,15,37,12,6,1,16,35,10,8,1
NikoTheodorou,Hikaru,Caro-Kann-Defense,0.5,0.5,repetition,repetition,blitz,180,3053,3234,92.05,92.08,19:02:22,19:08:34,372.0,65,5.72,2023.01.18,19,26,10,8,1,22,28,4,7,2
Hikaru,NikoTheodorou,Vienna-Game-Frankenstein-Dracula-Variation-Declined,1,0,win,resigned,blitz,180,3238,3049,85.18,81.54,19:08:18,19:14:23,365.0,56,6.52,2023.01.18,9,28,11,6,1,13,19,12,9,1
NikoTheodorou,Hikaru,Sicilian-Defense-Smith-Morra-Gambit-Declined-Push-Variation,1,0,win,checkmated,blitz,180,3061,3226,79.5,71.44,19:14:04,19:20:07,363.0,58,6.26,2023.01.18,13,25,10,7,2,11,27,6,11,1
Hikaru,NikoTheodorou,Vienna-Game-Frankenstein-Dracula-Variation-Declined,0.5,0.5,repetition,repetition,blitz,180,3222,3065,92.93,93.13,19:20:04,19:23:37,213.0,26,8.19,2023.01.18,4,13,3,3,2,8,14,0,1,2
Hikaru,Jospem,Reti-Opening-Sicilian-Invitation,0.5,0.5,agreed,agreed,blitz,180,3218,3045,87.06,88.95,19:24:46,19:29:39,293.0,40,7.33,2023.01.18,3,20,10,5,1,3,16,12,6,1
Jospem,Hikaru,French-Defense-Exchange-Variation,0,1,resigned,win,blitz,180,3041,3222,90.11,95.45,19:29:34,19:34:01,267.0,39,6.85,2023.01.18,8,16,8,4,2,5,20,10,2,1
Hikaru,Jospem,English-Opening-Symmetrical-Two-Knights-Variation,0.5,0.5,repetition,repetition,blitz,180,3218,3045,95.73,95.29,19:33:52,19:39:30,338.0,52,6.5,2023.01.18,12,21,8,8,2,11,22,9,6,2
Jospem,Hikaru,Owens-Defense,1,0,win,resigned,blitz,180,3057,3206,84.72,81.04,19:39:18,19:45:19,361.0,64,5.64,2023.01.18,7,33,17,5,1,5,36,11,10,0
Hikaru,Jospem,Sicilian-Defense-Chekhover-Variation,1,0,win,resigned,blitz,180,3211,3052,82.2,74.32,19:45:13,19:50:47,334.0,42,7.95,2023.01.18,6,21,5,7,2,8,15,7,7,3
Jospem,Hikaru,Kings-Indian-Attack-Double-Fianchetto-Variation,0,1,resigned,win,blitz,180,3047,3216,83.5,89.78,19:50:51,19:55:45,294.0,32,9.19,2023.01.18,3,10,8,8,2,2,15,5,7,2
Tonychess32,Hikaru,Modern-Defense-with,0,1,timeout,win,blitz,180+1,2513,3216,77.3,84.83,21:59:56,22:08:19,503.0,63,7.98,2023.01.24,5,31,13,10,3,5,35,11,8,3
Hikaru,Rutricks,Reti-Opening-Kingside-Fianchetto-Variation,1,0,win,resigned,blitz,180+1,3217,2688,93.61,82.3,22:09:38,22:11:06,88.0,19,4.63,2023.01.24,2,13,2,1,0,4,8,2,3,0
SantoBlue,Hikaru,Caro-Kann-Defense,0,1,resigned,win,blitz,180+1,2825,3219,71.47,79.79,22:18:56,22:26:13,437.0,44,9.93,2023.01.24,4,18,9,11,1,5,18,11,8,1
Hikaru,TigrVShlyape,Indian-Game-Knights-Variation,1,0,win,timeout,blitz,180+1,3221,2921,97.27,90.48,22:28:52,22:35:29,397.0,33,12.03,2023.01.24,2,12,7,9,2,2,12,9,3,5
penguingm1,Hikaru,Queens-Pawn-Opening-Accelerated-London-Steinitz-Countergambit,0,1,resigned,win,blitz,180+1,2971,3224,74.78,79.29,22:45:54,22:53:27,453.0,43,10.53,2023.01.24,6,21,3,8,4,8,13,8,10,3
Hikaru,AryanTari,Reti-Opening-Nimzowitsch-Larsen-Attack,1,0,win,resigned,blitz,180+1,3227,2928,91.17,85.33,22:55:23,23:03:07,464.0,47,9.87,2023.01.24,4,21,7,11,3,7,18,8,8,4
BogdanDeac,Hikaru,Indian-Game-Black-Knights-Tango,0.5,0.5,repetition,repetition,blitz,180+1,3042,3223,94.56,94.81,23:05:15,23:14:13,538.0,78,6.9,2023.01.24,13,50,4,7,3,23,36,5,8,4
Hikaru,chesspanda123,Reti-Opening,1,0,win,timeout,blitz,180+1,3228,3084,82.9,79.29,23:15:39,23:23:53,494.0,56,8.82,2023.01.24,8,24,10,11,2,3,15,23,12,1
Hikaru,MagnusCarlsen,Anderssen-Opening,1,0,win,timeout,blitz,180+1,3236,3240,83.34,81.54,23:30:54,23:38:29,455.0,39,11.67,2023.01.24,4,15,8,7,4,2,11,13,8,3
Msb2,Hikaru,Indian-Game-Black-Knights-Tango,0.5,0.5,repetition,repetition,blitz,180+1,3056,3232,93.74,93.81,23:41:27,23:50:32,545.0,79,6.9,2023.01.24,13,36,15,13,1,11,39,17,9,1
Hikaru,exoticprincess,Caro-Kann-Defense-Two-Knights-Attack,0.5,0.5,agreed,agreed,blitz,180+1,3228,3041,97.93,99.68,23:51:10,23:53:32,142.0,7,20.29,2023.01.24,2,3,0,1,0,3,1,1,0,0
Hikaru,DanielNaroditsky,Indian-Game-East-Indian-London-System,1,0,win,resigned,blitz,180,3234,3118,92.84,84.8,16:59:46,17:04:14,268.0,41,6.54,2023.01.25,11,19,8,0,2,9,13,6,10,1
N0IDontThinkS0,Hikaru,Modern-Defense-with,0.5,0.5,stalemate,stalemate,blitz,180,2662,3227,85.5,86.04,17:04:02,17:09:48,346.0,71,4.87,2023.01.25,24,25,14,6,1,24,33,6,4,2
MITerryble,Hikaru,Modern-Defense-with,0,1,resigned,win,blitz,180,2962,3230,81.55,87.95,17:09:44,17:15:12,328.0,50,6.56,2023.01.25,7,20,14,7,1,3,32,8,5,1
Hikaru,Tberchess,Owens-Defense,1,0,win,resigned,blitz,180,3230,2574,88.39,84.29,17:15:11,17:18:43,212.0,45,4.71,2023.01.25,13,21,8,2,0,4,24,10,5,0
gokul999,Hikaru,Modern-Defense-with,0,1,resigned,win,blitz,180,2422,3230,78.77,88.45,17:18:52,17:22:29,217.0,48,4.52,2023.01.25,10,25,9,2,1,8,30,8,1,0
Hikaru,MITerryble,French-Defense-Normal-Variation,1,0,win,checkmated,blitz,180,3233,2947,91.24,89.52,17:22:13,17:28:50,397.0,89,4.46,2023.01.25,27,48,5,5,3,32,39,5,10,1
Mykola-Bortnyk,Hikaru,Modern-Defense-Standard-Line,0.5,0.5,repetition,repetition,blitz,180,2888,3227,81.04,80.56,17:28:39,17:34:05,326.0,52,6.27,2023.01.25,11,19,15,5,1,10,21,12,6,1
Hikaru,DamianoLew95,Closed-Sicilian-Defense-Grand-Prix-Attack,1,0,win,resigned,blitz,180,3227,2557,88.45,80.13,17:34:09,17:38:30,261.0,39,6.69,2023.01.25,3,24,7,4,0,2,21,5,8,1
Oleksandr_Bortnyk,Hikaru,Alekhines-Defense-Two-Pawns-Attack,1,0,win,resigned,blitz,180,3006,3214,83.02,74.33,17:38:19,17:43:25,306.0,37,8.27,2023.01.25,5,14,10,5,2,5,14,9,4,3
moro182,Hikaru,Modern-Defense-with,0,1,resigned,win,blitz,180,2894,3216,90.94,95.26,17:43:20,17:48:21,301.0,43,7.0,2023.01.25,6,25,5,3,3,8,19,10,4,1
wonderfultime,Hikaru,Indian-Game-Knights-Variation,0,1,timeout,win,blitz,180,2980,3219,83.74,87.36,17:48:09,17:54:43,394.0,86,4.58,2023.01.25,27,34,14,10,0,26,33,19,7,0
Hikaru,Oleksandr_Bortnyk,Alekhines-Defense-Scandinavian-Variation,1,0,win,resigned,blitz,180,3223,3010,90.14,82.6,17:54:42,18:00:20,338.0,40,8.45,2023.01.25,5,15,9,9,1,9,12,9,5,3
Hikaru,Neo-Noctem,Vienna-Game-Max-Lange-Vienna-Gambit,1,0,win,resigned,blitz,180,3224,2641,86.63,82.93,18:00:20,18:03:24,184.0,36,5.11,2023.01.25,7,19,7,2,0,0,26,3,5,0
Hikaru,moro182,Modern-Defense-Standard-Line,1,0,win,resigned,blitz,180,3226,2883,83.56,74.28,18:03:16,18:08:08,292.0,33,8.85,2023.01.25,2,17,6,6,1,3,11,9,8,1
Hikaru,gokul999,Caro-Kann-Defense-Two-Knights-Attack,1,0,win,resigned,blitz,180,3226,2435,74.13,68.54,18:08:16,18:11:50,214.0,41,5.22,2023.01.25,9,23,6,1,1,7,19,7,5,1
Hikaru,Mykola-Bortnyk,Queens-Pawn-Opening-Torre-Attack,1,0,win,resigned,blitz,180,3228,2867,90.67,76.87,18:11:51,18:14:43,172.0,21,8.19,2023.01.25,1,14,3,2,0,3,8,2,4,2
Hikaru,Payyappat,Indian-Game-Spielmann-Indian-Variation,1,0,win,resigned,blitz,180,3228,2440,94.24,77.24,18:14:53,18:16:22,89.0,20,4.45,2023.01.25,1,16,2,0,0,6,6,4,2,0
GiantAlienMoose,Hikaru,Modern-Defense-with,0,1,resigned,win,blitz,180,2520,3228,75.25,91.56,18:16:34,18:17:34,60.0,11,5.45,2023.01.25,1,6,2,0,1,3,7,0,0,0
moro182,Hikaru,Modern-Defense-with,0,1,checkmated,win,blitz,180,2891,3230,62.48,76.77,18:17:30,18:23:03,333.0,40,8.32,2023.01.25,2,19,7,10,1,6,13,11,8,1
Flaccidmoves,Hikaru,Modern-Defense-with,0,1,resigned,win,blitz,180,2564,3230,74.75,84.52,18:23:03,18:26:23,200.0,31,6.45,2023.01.25,5,13,6,4,2,6,15,8,1,0
Hikaru,N0IDontThinkS0,Vienna-Game-Main-Line-Paulsen-Attack,1,0,win,timeout,blitz,180,3231,2658,78.39,74.92,18:26:00,18:31:49,349.0,83,4.2,2023.01.25,19,48,12,3,0,25,45,2,7,2
Hikaru,Twitch_ElhamBlitz05,Caro-Kann-Defense-Two-Knights-Attack,0.5,0.5,agreed,agreed,blitz,180,3225,2915,90.19,90.66,18:31:58,18:37:53,355.0,77,4.61,2023.01.25,19,42,8,6,1,26,31,14,3,2
Hikaru,GiantAlienMoose,Vienna-Game-Max-Lange-Vienna-Gambit-Knight-Variation,1,0,win,resigned,blitz,180,3225,2525,77.26,73.0,18:37:46,18:42:47,301.0,66,4.56,2023.01.25,13,41,7,4,0,6,38,12,8,0
subham777,Hikaru,Modern-Defense-with,0,1,resigned,win,blitz,180,2616,3225,77.87,84.55,18:42:49,18:44:40,111.0,27,4.11,2023.01.25,2,18,5,1,0,6,16,4,0,0
Twitch_ElhamBlitz05,Hikaru,Modern-Defense-with,0,1,resigned,win,blitz,180,2914,3227,82.09,92.57,18:44:48,18:48:06,198.0,28,7.07,2023.01.25,7,11,4,2,3,6,18,1,2,0
DanielNaroditsky,Hikaru,Alekhines-Defense-Modern-Schmid-Variation,0.5,0.5,insufficient,insufficient,blitz,180,3082,3224,84.69,85.93,18:47:48,18:54:02,374.0,68,5.5,2023.01.25,13,30,15,9,0,11,36,11,8,0
Hikaru,Karttunen,Closed-Sicilian-Defense-Grand-Prix-Attack,1,0,win,resigned,blitz,180,3224,2560,89.96,86.64,18:54:13,18:56:41,148.0,35,4.23,2023.01.25,5,22,6,1,0,4,21,3,5,0
Hikaru,gionabaldo,Closed-Sicilian-Defense-Grand-Prix-Attack,1,0,win,resigned,blitz,180,3224,2310,91.13,74.39,18:56:55,18:58:51,116.0,30,3.87,2023.01.25,17,11,1,0,0,5,18,2,2,1
Hikaru,monsterreborn4,Reti-Opening,0,1,resigned,win,blitz,180,3211,2988,85.22,94.59,15:42:11,15:46:10,239.0,33,7.24,2023.01.26,4,14,5,7,2,0,9,22,0,0
monsterreborn4,Hikaru,Reti-Opening-Kingside-Fianchetto-Variation,1,0,win,timeout,blitz,180,3046,3199,87.28,80.97,15:46:14,15:50:56,282.0,27,10.44,2023.01.26,1,6,16,3,0,0,13,5,5,2
artooon,Hikaru,Caro-Kann-Defense-Advance-Van-der-Wiel-Attack,1,0,win,resigned,blitz,180,3009,3211,79.6,68.12,15:51:42,15:56:12,270.0,25,10.8,2023.01.26,3,11,5,4,1,2,7,6,5,3
Hikaru,artooon,Vienna-Game-Max-Lange-Vienna-Gambit-Knight-Variation,0,1,resigned,win,blitz,180,3199,3021,76.08,80.02,15:56:13,16:02:50,397.0,83,4.78,2023.01.26,29,36,9,6,2,23,44,6,6,2
artooon,Hikaru,Sicilian-Defense-Open-Najdorf-Freak-Attack,0,1,checkmated,win,blitz,180,3017,3203,75.82,82.24,16:02:52,16:06:34,222.0,27,8.22,2023.01.26,6,10,5,3,2,6,11,3,4,2
Hikaru,artooon,Reti-Opening-Nimzo-Larsen-Variation,0,1,resigned,win,blitz,180,3191,3029,72.18,74.95,16:06:35,16:12:54,379.0,53,7.15,2023.01.26,10,22,9,11,0,11,21,7,12,1
artooon,Hikaru,Caro-Kann-Defense-Advance-Van-der-Wiel-Attack,0,1,checkmated,win,blitz,180,3024,3196,72.59,85.51,16:12:58,16:17:06,248.0,26,9.54,2023.01.26,5,8,6,3,3,4,13,2,5,1
Hikaru,artooon,Ruy-Lopez-Opening-Berlin-Defense,1,0,win,resigned,blitz,180,3200,3020,86.13,75.97,16:17:05,16:23:00,355.0,49,7.24,2023.01.26,9,19,11,7,2,9,24,6,6,2
artooon,Hikaru,Caro-Kann-Defense-Advance-Van-der-Wiel-Attack,0,1,checkmated,win,blitz,180,3016,3204,82.39,94.59,16:23:02,16:28:23,321.0,41,7.83,2023.01.26,5,18,11,3,3,6,16,10,8,0
Oleksandr_Bortnyk,Hikaru,Caro-Kann-Defense-Bronstein-Larsen-Variation,1,0,win,resigned,blitz,180,3017,3192,95.21,84.88,16:29:36,16:30:47,71.0,18,3.94,2023.01.26,4,6,5,2,0,2,12,2,0,0
Hikaru,Oleksandr_Bortnyk,Alekhines-Defense-Maroczy-Variation,1,0,win,checkmated,blitz,180,3196,3013,77.34,73.39,16:30:32,16:36:13,341.0,48,7.1,2023.01.26,9,20,13,3,2,7,25,5,6,3
Oleksandr_Bortnyk,Hikaru,Caro-Kann-Defense-Accelerated-Panov-Open,0,1,resigned,win,blitz,180,3009,3200,81.82,92.42,16:36:24,16:41:05,281.0,46,6.11,2023.01.26,3,21,10,11,0,6,26,9,4,0
Hikaru,Oleksandr_Bortnyk,English-Opening,1,0,win,resigned,blitz,180,3204,3005,88.22,79.39,16:40:47,16:46:41,354.0,61,5.8,2023.01.26,23,25,5,3,4,22,22,7,5,3
Oleksandr_Bortnyk,Hikaru,Caro-Kann-Defense-Bronstein-Larsen-Variation,0.5,0.5,repetition,repetition,blitz,180,3009,3200,95.46,96.18,16:46:22,16:52:38,376.0,69,5.45,2023.01.26,15,30,16,6,1,9,41,8,9,1
Hikaru,Oleksandr_Bortnyk,English-Opening,1,0,win,timeout,blitz,180,3204,3005,86.25,84.55,16:52:18,16:58:59,401.0,89,4.51,2023.01.26,30,38,9,11,0,35,26,16,10,0
Oleksandr_Bortnyk,Hikaru,Caro-Kann-Defense-Bronstein-Larsen-Variation,0.5,0.5,repetition,repetition,blitz,180,3009,3200,81.13,79.36,16:59:01,17:04:14,313.0,43,7.28,2023.01.26,6,22,10,1,3,6,23,5,6,1
Hikaru,Oleksandr_Bortnyk,Alekhines-Defense-Maroczy-Variation,0,1,checkmated,win,blitz,180,3188,3021,73.86,88.38,17:04:10,17:07:15,185.0,29,6.38,2023.01.26,6,11,5,5,1,6,15,2,4,1
Oleksandr_Bortnyk,Hikaru,Alapin-Sicilian-Defense-Barmen-Defense,0,1,resigned,win,blitz,180,3017,3192,80.05,89.16,17:07:00,17:12:43,343.0,56,6.12,2023.01.26,13,22,13,5,2,9,30,9,6,1
Hikaru,DanielNaroditsky,English-Opening-Anglo-Indian-Queens-Knight-Variation,0,1,resigned,win,blitz,180,3181,3064,82.12,96.39,18:25:39,18:30:14,275.0,25,11.0,2023.01.26,2,13,2,4,3,2,9,7,5,1
DanielNaroditsky,Hikaru,Ruy-Lopez-Opening-Morphy-Defense-Anti-Marshall-Variation,0,1,resigned,win,blitz,180,3059,3186,89.51,89.05,18:29:57,18:35:41,344.0,55,6.25,2023.01.26,7,27,12,7,1,8,27,12,7,0
Hikaru,DanielNaroditsky,English-Opening-Anglo-Indian-Queens-Knight-Variation,0.5,0.5,agreed,agreed,blitz,180,3183,3062,76.58,76.92,18:35:26,18:41:18,352.0,59,5.97,2023.01.26,14,31,6,4,3,12,30,10,4,2
DanielNaroditsky,Hikaru,Ruy-Lopez-Opening-Morphy-Defense-Anti-Marshall-Variation,0,1,resigned,win,blitz,180,3057,3188,80.37,86.24,18:41:18,18:47:39,381.0,66,5.77,2023.01.26,20,27,11,4,3,8,36,12,8,1
Hikaru,DanielNaroditsky,Kings-Indian-Defense-Petrosian-Variation,1,0,win,resigned,blitz,180,3193,3052,89.7,79.33,18:47:32,18:50:55,203.0,28,7.25,2023.01.26,4,13,8,1,1,8,8,3,6,1
DanielNaroditsky,Hikaru,Ruy-Lopez-Opening-Morphy-Defense-Open,0.5,0.5,insufficient,insufficient,blitz,180,3055,3190,88.53,89.49,18:50:27,18:57:06,399.0,85,4.69,2023.01.26,30,36,7,10,1,21,45,9,7,1
Hikaru,DanielNaroditsky,Kings-Indian-Defense-Petrosian-Variation,1,0,win,resigned,blitz,180,3195,3050,87.79,85.1,18:56:52,19:01:52,300.0,53,5.66,2023.01.26,6,30,11,5,0,9,20,12,10,0
DanielNaroditsky,Hikaru,Ruy-Lopez-Opening-Morphy-Defense-Closed,0,1,checkmated,win,blitz,180,3045,3200,76.42,85.16,19:01:41,19:07:11,330.0,55,6.0,2023.01.26,13,24,6,10,1,3,33,13,5,0
Hikaru,DanielNaroditsky,Kings-Indian-Defense-Petrosian-Variation-Stein-Defense,1,0,win,resigned,blitz,180,3205,3040,91.21,82.66,19:07:04,19:09:33,149.0,30,4.97,2023.01.26,6,16,4,3,0,11,8,4,5,0
DanielNaroditsky,Hikaru,Ruy-Lopez-Opening-Morphy-Defense-Closed,0.5,0.5,agreed,agreed,blitz,180,3044,3201,96.77,97.2,19:09:27,19:11:29,122.0,27,4.52,2023.01.26,10,9,5,2,0,5,14,3,4,0
BuLolo,Hikaru,Dutch-Defense-Queens-Knight-Variation,0,1,resigned,win,blitz,180,3014,3205,71.46,78.53,21:00:01,21:05:07,306.0,33,9.27,2023.01.26,1,17,4,7,3,4,10,12,5,1
Hikaru,BuLolo,Reti-Opening-Quiet-System,0,1,resigned,win,blitz,180,3193,3026,76.68,85.38,21:05:08,21:08:45,217.0,29,7.48,2023.01.26,4,11,5,8,0,4,14,4,5,1
BuLolo,Hikaru,Dutch-Defense-Queens-Knight-Variation,0.5,0.5,repetition,repetition,blitz,180,3030,3189,86.62,86.25,21:08:35,21:14:52,377.0,73,5.16,2023.01.26,17,34,16,4,1,20,35,7,8,1
Hikaru,BuLolo,Closed-Sicilian-Defense-Grand-Prix-Schofman-Variation,1,0,win,resigned,blitz,180,3194,3025,95.09,85.61,21:14:51,21:16:56,125.0,18,6.94,2023.01.26,5,8,2,2,0,0,12,1,2,1
BuLolo,Hikaru,Dutch-Defense-Queens-Knight-Variation,1,0,win,resigned,blitz,180,3037,3182,87.6,79.85,21:16:59,21:19:11,132.0,19,6.95,2023.01.26,2,8,5,3,0,2,9,4,2,1
exoticprincess,Hikaru,Modern-Defense-with,0,1,resigned,win,blitz,180,3036,3187,82.89,90.84,21:20:14,21:23:24,190.0,22,8.64,2023.01.26,2,10,3,4,2,3,10,2,6,0
Hikaru,exoticprincess,Queens-Pawn-Opening,1,0,win,resigned,blitz,180,3192,3031,90.54,86.88,21:23:17,21:28:39,322.0,47,6.85,2023.01.26,7,23,8,6,2,8,20,7,9,1
exoticprincess,Hikaru,Modern-Defense-with,0,1,resigned,win,blitz,180,3026,3197,83.8,88.62,21:28:29,21:33:55,326.0,48,6.79,2023.01.26,6,21,13,5,2,9,19,11,7,1
Hikaru,exoticprincess,Queens-Pawn-Opening,1,0,win,resigned,blitz,180,3201,3022,89.14,81.82,21:33:47,21:38:48,301.0,43,7.0,2023.01.26,4,23,7,7,1,7,19,8,6,2
Hikaru,artooon,Bishops-Opening-Berlin-Vienna-Hybrid-Variation,1,0,win,checkmated,blitz,180,3205,3012,84.45,82.96,03:49:31,03:56:04,393.0,97,4.05,2023.01.27,31,43,14,8,0,33,41,17,2,2
artooon,Hikaru,Caro-Kann-Defense-Breyer-Variation,0,1,resigned,win,blitz,180,3008,3209,77.82,83.75,03:56:02,04:00:41,279.0,55,5.07,2023.01.27,15,26,7,5,1,11,26,15,2,0
Hikaru,artooon,Bishops-Opening-Berlin-Vienna-Hybrid-Variation,1,0,win,resigned,blitz,180,3213,3004,89.79,85.11,04:00:40,04:05:24,284.0,42,6.76,2023.01.27,4,18,14,5,0,8,19,6,5,2
artooon,Hikaru,Caro-Kann-Defense-Advance-Van-der-Wiel-Attack,0,1,resigned,win,blitz,180,3000,3217,72.98,73.49,04:05:23,04:10:47,324.0,48,6.75,2023.01.27,8,21,9,8,1,7,17,15,7,1
Hikaru,artooon,Alapin-Sicilian-Defense,1,0,win,resigned,blitz,180,3221,2996,91.27,78.72,04:10:49,04:13:01,132.0,23,5.74,2023.01.27,4,13,4,0,1,4,11,4,1,1
Hikaru,PLAYER_2006_M,Reti-Opening-Nimzo-Larsen-Variation,1,0,win,resigned,blitz,180,3224,2985,78.96,74.03,05:54:51,06:00:44,353.0,66,5.35,2023.01.27,15,33,8,9,0,20,24,9,10,1
PLAYER_2006_M,Hikaru,Queens-Pawn-Opening-Chigorin-Variation,0,1,resigned,win,blitz,180,2982,3227,82.55,89.22,06:00:43,06:05:01,258.0,34,7.59,2023.01.27,5,11,10,4,3,4,14,11,4,0
Hikaru,PLAYER_2006_M,Reti-Opening-Nimzowitsch-Larsen-Attack,1,0,win,resigned,blitz,180,3230,2979,95.55,88.0,06:05:04,06:08:01,177.0,27,6.56,2023.01.27,4,16,5,1,0,1,12,7,4,1
Hikaru,wonderfultime,Kings-Fianchetto-Opening,1,0,win,resigned,bullet,60,3270,3064,80.0,75.5,06:09:02,06:11:27,145.0,70,2.07,2023.01.27,32,34,2,1,0,23,44,1,0,0
wonderfultime,Hikaru,Mieses-Opening,0,1,resigned,win,bullet,60,3060,3274,85.37,92.6,06:11:27,06:12:09,42.0,20,2.1,2023.01.27,7,12,0,0,0,12,7,0,0,0
Hikaru,wonderfultime,English-Opening-Caro-Kann-Defensive-System,0,1,resigned,win,bullet,60,3262,3072,85.5,89.25,06:12:05,06:14:06,121.0,55,2.2,2023.01.27,24,28,2,0,0,17,35,2,0,0
wonderfultime,Hikaru,Kings-Fianchetto-Opening-Symmetrical-Variation,0,1,resigned,win,bullet,60,3068,3266,75.82,81.85,06:14:03,06:15:47,104.0,36,2.89,2023.01.27,15,17,2,1,0,11,19,4,1,0
Hikaru,wonderfultime,Nimzowitsch-Larsen-Attack-Classical-Variation,1,0,win,resigned,bullet,60,3270,3064,82.56,78.76,06:15:46,06:18:02,136.0,53,2.57,2023.01.27,20,27,4,1,0,15,32,3,1,0
