white_username,black_username,opening,score_white,score_black,result_white,result_black,time_class,time_control,rating_white,rating_black,accuracy_white,accuracy_black,start_time,end_time,game_length,total_moves,avg_move_time,UTC_date,white_<1,white_2,white_5,white_15,white_>15,black_<1,black_2,black_5,black_15,black_>15
Hikaru,SantoBlue,Reti-Opening,0,1,resigned,win,blitz,180+1,3199,2890,89.79,92.37,22:30:13,22:37:58,465.0,73,6.37,2023.01.10,17,33,13,8,1,5,39,14,14,0
Hikaru,AlexPapasimakopoulos,Kings-Indian-Attack-Yugoslav-Variation,1,0,win,resigned,blitz,180+1,3200,2692,85.55,81.84,22:46:00,22:52:58,418.0,55,7.6,2023.01.10,8,31,6,7,2,3,27,9,12,2
ContrVersia,Hikaru,Modern-Defense-with,0,1,timeout,win,blitz,180+1,2810,3202,82.58,83.46,22:56:37,23:04:35,478.0,50,9.56,2023.01.10,3,24,12,7,3,10,22,9,6,2
Hikaru,Jospem,Vienna-Game-Max-Lange-Defense,1,0,win,resigned,blitz,180+1,3206,2999,88.49,83.45,23:05:56,23:15:07,551.0,83,6.64,2023.01.10,9,41,18,13,1,11,34,24,11,1
jefferyx,Hikaru,Modern-Defense-Norwegian-Defense,0.5,0.5,repetition,repetition,blitz,180+1,3030,3202,83.02,80.12,23:15:35,23:21:24,349.0,35,9.97,2023.01.10,10,12,4,5,3,2,14,5,12,1
Hikaru,exoticprincess,Trompowsky-Attack-Classical-Big-Center-Variation,1,0,win,resigned,blitz,180+1,3206,3004,88.87,84.39,23:31:26,23:40:00,514.0,71,7.24,2023.01.10,15,29,11,13,2,8,35,11,12,3
FairChess_on_YouTube,Hikaru,English-Opening-Anglo-Indian-Kings-Knight-Variation,1,0,win,resigned,blitz,180+1,3107,3196,89.13,82.14,23:42:22,23:49:56,454.0,54,8.41,2023.01.10,0,26,18,7,2,7,27,4,11,3
Jospem,Hikaru,Caro-Kann-Defense,0,1,resigned,win,blitz,180,3012,3200,75.49,81.76,15:42:30,15:47:47,317.0,38,8.34,2023.01.11,3,13,10,9,2,5,17,7,7,1
Hikaru,Jospem,Indian-Game-Knights-Variation,0,1,resigned,win,blitz,180,3188,3024,88.95,90.01,15:47:31,15:53:45,374.0,75,4.99,2023.01.11,10,42,15,7,0,11,40,18,5,0
Jospem,Hikaru,Caro-Kann-Defense-Breyer-Variation,0,1,resigned,win,blitz,180,3020,3192,76.86,84.79,15:53:39,15:58:51,312.0,43,7.26,2023.01.11,7,16,10,7,2,6,21,6,8,1
Hikaru,Jospem,Reti-Opening-Sicilian-Invitation,1,0,win,resigned,blitz,180,3196,3016,100.0,100.0,15:59:05,16:00:35,90.0,4,22.5,2023.01.11,0,2,0,0,1,0,2,0,0,1
Jospem,Hikaru,Caro-Kann-Defense-Breyer-Variation,0.5,0.5,insufficient,insufficient,blitz,180,3020,3192,86.86,87.47,16:10:25,16:16:46,381.0,68,5.6,2023.01.11,18,28,10,11,0,16,35,7,7,2
Hikaru,Jospem,Closed-Sicilian-Defense-Grand-Prix-Attack,0.5,0.5,agreed,agreed,blitz,180,3188,3024,88.14,89.29,16:16:39,16:21:49,310.0,50,6.2,2023.01.11,12,23,7,5,2,6,27,6,7,2
